cluster,precipitation
1,2.3783333333333334
2,2.2543636363636366
3,2.170888888888889
4,1.8877297297297297
5,1.985157894736842
6,1.99952
7,2.1089024390243902
8,1.4505
9,1.7818072289156626
10,1.7421908396946564
11,1.8089777777777778
12,1.8039917355371902
13,1.8693541666666667
14,1.9603414634146341
15,1.5694745762711864
16,1.5675862068965516
17,1.4477948717948719
18,1.3060588235294117
19,1.3084500000000001
20,1.7010409836065574
21,1.4637614678899082
22,1.9344337606837607
23,2.053741935483871
24,1.9059932659932661
25,2.01784
26,1.8049871794871795
27,2.117337837837838
28,2.35295
29,2.2916830357142857
30,1.529
31,2.0164444444444443
32,1.7760697674418604
33,1.88878125
34,1.9071417322834645
35,1.773408163265306
36,2.3711627906976744
37,2.2583571428571427
38,2.33075
39,2.290782608695652
40,2.112703125
41,1.96896875
42,2.006421052631579
43,2.027
44,1.767
45,1.4855
46,1.5327142857142857
47,1.7293181818181818
48,1.6415
49,1.8108333333333333
50,2.1705555555555556
